"step";"bible_ref";"bible_ref_positive_negative";"bible_ref_origin";"bible_ref_author";"bible_ref_type";"category";"title_nl";"title_ot_nl";"title_ot_en";"title_ot_code";"title_en";"title_negative_en";"devotional_en";"devotional_nl";"devotional_source";"questions";"quote";"quote_source"
5;"Deut 6:4";"positive";"CCA2";"Moses";"indirect";"Worship Commands";;;;;;;;;;;;
5;"1 Kro 23:13";"positive";;"Aaron";"example";"Worship Commands";;;;;;;;;;;;
5;"Jes 44:6";"positive";;"Isaiah";"indirect";"Worship Commands";;;;;;;;;;;;
5;"2 kro 29:11";"positive";;"Hezekiah";"example";"Worship Commands";;;;;;;;;;;;
5;"Joz 24:14";"both";;"Joshua";"direct";"Worship Commands";;;;;;;;;;;;
5;"Ps 81:10-11";"both";;"Asaph";"direct";"Worship Commands";;;;;;;;;;;;
6;"Mat 9:37-38";"positive";;"Jesus";"primary";"Witnessing Commands";"Bid daarom tot de Heere van de oogst dat Hij arbeiders in Zijn oogst uitzendt";;;;"Pray ye therefore the Lord of the harvest, that he will send forth labourers into his harvest";;;;;;;
6;"2 Thes 3:1";"positive";;"Paul";"indirect";"Witnessing Commands";;;;;;;;;;;;
6;"Ef 6:19";"positive";;"Paul";"example";"Witnessing Commands";;;;;;;;;;;;
6;"Kol 4:3";"positive";;"Paul";"indirect";"Witnessing Commands";;;;;;;;;;;;
6;"Luk 9:57-61";"negative";;"Jesus";"indirect";"Witnessing Commands";;;;;;;;;;;;
6;"Luk 10:2";"positive";;"Jesus";"duplicate";"Witnessing Commands";;;;;;;;;;;;
6;"Joh 4:35-38";"positive";;"Jesus";"direct";"Witnessing Commands";;;;;;;;;;;;
7;"Mar 2:23-28";"positive";;"Jesus";"primary";"Blessings";"Neem een dag rust in de week";"Heilig de Shabbat ";"To sanctify Shabbat";"CCA19";"Take a day off in the week";"The sabbath was made for man, and not man for the sabbath";;;;;;
7;"Mat 12:1-8";"positive";;"Jesus";"duplicate";"Blessings";;"Rust op de Shabbat ";"To rest on Shabbat";"CCA20";;;;;;;;
7;"Luk 6:1-5";"positive";;"Jesus";"duplicate";"Blessings";;"Rust op de 1e dag van de Pesach ";"To rest on the first day of Passover";"CCA25";;;;;;;;
7;"Rom 14:5-7";"positive";;"Paul";"direct";"Blessings";;"Rust op de 7e dag van de Pesach ";"To rest on the seventh day of Passover";"CCA27";;;;;;;;
7;"Heb 4:1-13";"both";;"Paul ?";"study";"Blessings";;"Rust op Shavuot ";"To rest on Shavu'ot";"CCA28";;;;;;;;
7;"Kol 2:16-17";"positive";;"Paul";"direct";"Blessings";;"Rust op Yom Kippur ";"To rest on the Yom Kippur
";"CCA31";;;;;;;;
7;"Ex 20:8-10";"positive";"CCA19";"HEERE";"direct";"Blessings";;;;;;;;;;;;
7;"Ex 23:12";"positive";"CCA20";"Moses";"direct";"Blessings";;;;;;;;;;;;
7;"Ex 34:21";"positive";"CCA20";"HEERE";"direct";"Blessings";;;;;;;;;;;;
7;"Ex 12:16";"positive";"CCA25 & CCA27";"HEERE";"indirect";"Blessings";;;;;;;;;;;;
7;"Lev 23:7-8";"positive";"CCA25 & CCA27";"HEERE";"duplicate";"Blessings";;;;;;;;;;;;
7;"Lev 23:21";"positive";"CCA28";"HEERE";"duplicate";"Blessings";;;;;;;;;;;;
7;"Lev 23:32";"positive";"CCA31";"HEERE";"duplicate";"Blessings";;;;;;;;;;;;
8;"Mar 16:15-18";"positive";;"Jesus";"primary";"Witnessing Commands";"Ga heen in heel de wereld, predik het Evangelie aan alle schepselen";;;;"Go ye into all the world, and preach the gospel to every creature";;"<p>In a mission conference, the banner across the front of the auditorium stated, “Don’t take the ‘Go’ out of the Gospel.” We naturally find a myriad of excuses for why we cannot go to preach the gospel. </p>

<p>The resurrected Christ reiterated five times His final charge: “Go into to all the world.” Christ’s death on the cross was to be proclaimed around the world. There is no news more dramatic than this: “God made him who had no sin to be sin for us, so that in Him we might become the righteousness of God” (2 Cor 5:21). </p>

<p>God asked the question: “Then I heard the voice of the Lord saying, ‘Whom shall I send? And who will go for us?’ And I said, ‘Here am I. Send me!’ He said, ‘Go and tell this people’.” (Isa 6:8-9). Was this written merely so we could appreciate Isaiah’s courage, or was it a glimpse into the perpetual heavenly issue? God is asking, “Who cares about our agenda for telling the world about Jesus?” </p>";"<p>Op een zendingsconferentie stond op het vaandel aan de voorkant van het auditorium: 'Neem het' Evangelie 'niet uit het evangelie.' We vinden natuurlijk een groot aantal excuses waarom we niet kunnen gaan om het evangelie te prediken. </p> 

<p>De herrezen Christus herhaalde vijf keer Zijn laatste opdracht: ""Ga de hele wereld in."" Christus 'dood aan het kruis zou over de hele wereld worden uitgeroepen. Er is geen dramatischer nieuws dan dit: ""God heeft hem die geen zonde heeft, tot zonde voor ons gemaakt, zodat wij in Hem de gerechtigheid van God kunnen worden"" (2 Kor. 5:21). </p> 

<p>God stelde de vraag: ""Toen hoorde ik de stem van de Heer zeggen:"" Wie zal ik zenden? "" En wie zal voor ons gaan? ’En ik zei:"" Hier ben ik. Zend mij! ""Hij zei:"" Ga dit volk vertellen "". (Jes 6: 8-9). Werd dit alleen geschreven om de moed van Jesaja te waarderen, of was het een glimp van de eeuwige hemelse kwestie? God vraagt: ""Wie bekommert zich om onze agenda om de wereld over Jezus te vertellen?"" </p>";;"Who cares about our agenda for telling the world about Jesus?";"It is no use walking anywhere to preach unless our walking is our preaching";"Francis of Assisi"
8;"Luk 1:17";"positive";;"Angel";"example";"Witnessing Commands";;;;;;;;;;"Paul tells his own testimony to defend himself. Have you also shared your testimony to others to explain the gospel? What was their reaction?";;
8;"Luk 4:43";"positive";;"Jesus";"example";"Witnessing Commands";;;;;;;;;;;;
8;"Luk 9:2";"positive";;"Jesus";"indirect";"Witnessing Commands";;;;;;;;;;;;
8;"Mar 3:14";"positive";;"Jesus";"indirect";"Witnessing Commands";;;;;;;;;;;;
